scenario_label,case_id,uav,axis,offset_m,route_constructible,lead_within_60s,common_warning_lead_s,minimum_pair_distance_m,total_path_length_m,total_turn_angle_rad
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_+0,2,x,0.0,True,True,17.876433988353572,46.38092783617386,993.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_+50,2,x,50.0,True,True,17.876433988353572,46.38092783617386,956.6365523500535,1.662115942051066
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_+100,2,x,100.0,True,True,17.876433988353572,46.38092783617386,922.1159556463658,1.7492826024148753
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_+150,2,x,150.0,True,True,17.876433988353572,46.38092783617386,891.1753003539529,1.8520371523853472
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_+200,2,x,200.0,True,True,17.876433988353572,46.38092783617386,864.7908451516054,1.972149905696317
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_-200,2,y,-200.0,True,True,17.876433988353572,46.38092783617386,899.3216329873885,1.1656954768473575
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_-150,2,y,-150.0,True,True,17.876433988353572,46.38092783617386,915.6169904128333,1.2890467617931227
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_-100,2,y,-100.0,True,True,17.876433988353572,46.38092783617386,937.3528571548968,1.401000879830265
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_-50,2,y,-50.0,True,True,17.876433988353572,46.38092783617386,963.723324279197,1.5006659270159837
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_+0,2,y,0.0,True,True,17.876433988353572,46.38092783617386,993.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_+50,2,y,50.0,True,True,17.876433988353572,46.38092783617386,1027.3358668158482,1.6648319944611778
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_+100,2,y,100.0,True,True,17.876433988353572,46.38092783617386,1063.2972869813607,1.7315107984483387
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_+150,2,y,150.0,True,True,17.876433988353572,46.38092783617386,1101.352419640266,1.7896321518684992
SYNTHETIC_SCENARIO_ONLY,POS_U2_Y_+200,2,y,200.0,True,True,17.876433988353572,46.38092783617386,1141.1140992166927,1.840418656100523
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_-200,3,x,-200.0,True,True,23.019324222420494,49.173477746639925,1142.3025968319812,1.2906607718525858
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_-150,3,x,-150.0,True,True,21.572735143060775,48.71897088993541,1101.798102609909,1.3479375046155848
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_-100,3,x,-100.0,True,True,20.19397721250662,48.13405033992971,1063.1928805543926,1.4152212317755395
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_-50,3,x,-50.0,True,True,18.90189003216076,47.37412330393704,1027.0144395047084,1.494587571577902
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_+0,3,x,0.0,True,True,17.876433988353572,46.38092783617386,993.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U3_X_+50,3,x,50.0,True,True,17.876433988353572,45.08323391947352,964.8671366955012,1.6984688115008457
