time_s,smoke_radius_m,ship_cloud_distance_m,single_smoke_margin_m,fully_covered,t_b_s,t_m_s
2.7024999999999997,120.0,48.553725,-8.553725,0,0.0,9.0
2.7249999999999996,120.0,48.380250000000004,-8.380250000000004,0,0.0,9.0
2.7474999999999996,120.0,48.206775,-8.206774999999993,0,0.0,9.0
2.7699999999999996,120.0,48.033300000000004,-8.033299999999997,0,0.0,9.0
2.7924999999999995,120.0,47.859825,-7.859825000000001,0,0.0,9.0
2.8149999999999995,120.0,47.686350000000004,-7.6863500000000045,0,0.0,9.0
2.8374999999999995,120.0,47.512875,-7.512875000000008,0,0.0,9.0
2.8599999999999994,120.0,47.339400000000005,-7.339400000000012,0,0.0,9.0
2.8824999999999994,120.0,47.165925,-7.165925000000001,0,0.0,9.0
2.9050000000000002,120.0,46.99245,-6.992449999999991,0,0.0,9.0
2.9275,120.0,46.818974999999995,-6.818974999999995,0,0.0,9.0
2.95,120.0,46.6455,-6.645499999999998,0,0.0,9.0
2.9725,120.0,46.472025,-6.472025000000002,0,0.0,9.0
2.995,120.0,46.29855,-6.298550000000006,0,0.0,9.0
3.0175,120.0,46.125075,-6.12507500000001,0,0.0,9.0
3.04,120.0,45.9516,-5.951599999999999,0,0.0,9.0
3.0625,120.0,45.778125,-5.778125000000003,0,0.0,9.0
3.085,120.0,45.60465,-5.604649999999992,0,0.0,9.0
3.1075,120.0,45.431175,-5.431174999999996,0,0.0,9.0
3.13,120.0,45.2577,-5.2577,0,0.0,9.0
3.1525,120.0,45.084225,-5.0842250000000035,0,0.0,9.0
3.175,120.0,44.91075,-4.910750000000007,0,0.0,9.0
3.1975,120.0,44.737275000000004,-4.737275000000011,0,0.0,9.0
3.2199999999999998,120.0,44.5638,-4.5638000000000005,0,0.0,9.0
3.2424999999999997,120.0,44.390325000000004,-4.390325000000004,0,0.0,9.0
3.2649999999999997,120.0,44.21685,-4.216849999999994,0,0.0,9.0
3.2874999999999996,120.0,44.043375000000005,-4.0433749999999975,0,0.0,9.0
3.3099999999999996,120.0,43.8699,-3.8699000000000012,0,0.0,9.0
3.3324999999999996,120.0,43.696425000000005,-3.696425000000005,0,0.0,9.0
3.3549999999999995,120.0,43.52295,-3.5229500000000087,0,0.0,9.0
3.3774999999999995,120.0,43.349475000000005,-3.3494750000000124,0,0.0,9.0
3.3999999999999995,120.0,43.176,-3.176000000000002,0,0.0,9.0
3.4224999999999994,120.0,43.002525000000006,-3.0025250000000057,0,0.0,9.0
3.4449999999999994,120.0,42.82905,-2.829049999999995,0,0.0,9.0
3.4674999999999994,120.0,42.655575000000006,-2.655574999999999,0,0.0,9.0
3.49,120.0,42.482099999999996,-2.4821000000000026,0,0.0,9.0
3.5125,120.0,42.308625,-2.3086250000000064,0,0.0,9.0
3.535,120.0,42.135149999999996,-2.135149999999996,0,0.0,9.0
3.5575,120.0,41.961675,-1.9616749999999996,0,0.0,9.0
3.58,120.0,41.788199999999996,-1.7881999999999891,0,0.0,9.0
3.6025,120.0,41.614725,-1.6147249999999929,0,0.0,9.0
3.625,120.0,41.44125,-1.4412499999999966,0,0.0,9.0
3.6475,120.0,41.267775,-1.2677750000000003,0,0.0,9.0
3.67,120.0,41.0943,-1.094300000000004,0,0.0,9.0
3.6925,120.0,40.920825,-0.9208250000000078,0,0.0,9.0
3.715,120.0,40.747350000000004,-0.7473500000000115,0,0.0,9.0
3.7375,120.0,40.573875,-0.573875000000001,0,0.0,9.0
3.76,120.0,40.400400000000005,-0.40040000000000475,0,0.0,9.0
3.7824999999999998,120.0,40.226925,-0.22692499999999427,0,0.0,9.0
3.8049999999999997,120.0,40.053450000000005,-0.053449999999998,0,0.0,9.0
3.8119325551232164,120.0,40.0,0.0,1,0.0,9.0
3.8274999999999997,120.0,39.879975,0.12002499999999827,1,0.0,9.0
3.8499999999999996,120.0,39.706500000000005,0.29349999999999454,1,0.0,9.0
3.8724999999999996,120.0,39.533025,0.4669749999999908,1,0.0,9.0
3.8949999999999996,120.0,39.359550000000006,0.6404499999999871,1,0.0,9.0
3.9174999999999995,120.0,39.186075,0.8139249999999976,1,0.0,9.0
3.9399999999999995,120.0,39.012600000000006,0.9873999999999938,1,0.0,9.0
3.9624999999999995,120.0,38.839125,1.1608750000000043,1,0.0,9.0
3.9849999999999994,120.0,38.66565000000001,1.3343500000000006,1,0.0,9.0
4.007499999999999,120.0,38.492175,1.5078249999999969,1,0.0,9.0
4.029999999999999,120.0,38.31870000000001,1.6812999999999931,1,0.0,9.0
