candidate_id,physical_action_hash,physical_action_count,served_threat_ids,served_threat_count,per_threat_continuous_status,per_threat_independent_status,per_threat_minimum_margin,per_threat_uncovered_area,exact_event_identity_status,inventory_count_status,selected_in_plan_ids,audit_status
S2-SHO-SUR::T-Q3-P1::SHO-SUR-M5+SHO-SUR-M6::UAV-1-UAV-2-UAV-3,6AFAF87348F401923A8BB3908056C8CED96A27647566E1DC116549173726EBB1,3,"[""SHO-SUR-M5"",""SHO-SUR-M6""]",2,"{""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M5"":0.5,""SHO-SUR-M6"":0.5}","{""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":0.0}",PASS,PASS,[],PASS
S2-SHO-SUR::T-Q3-P2::SHO-SUR-M2+SHO-SUR-M5+SHO-SUR-M6::UAV-2-UAV-3-UAV-4,17A98466939048BEE3E8B9D749969FAA1B503319C3A383B497D3708F3E305B8D,3,"[""SHO-SUR-M2"",""SHO-SUR-M5"",""SHO-SUR-M6""]",3,"{""SHO-SUR-M2"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M2"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M2"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":3.0}","{""SHO-SUR-M2"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":0.0}",PASS,PASS,[],PASS
S2-SHO-SUR::T-Q3-P2::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-2-UAV-3-UAV-4,B1AD4B5075776DABCB300F92D8DF847CA4A6290C6AD344B29711FC6D0FDC12D3,3,"[""SHO-SUR-M4"",""SHO-SUR-M5"",""SHO-SUR-M6""]",3,"{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M4"":3.0,""SHO-SUR-M5"":6.0,""SHO-SUR-M6"":3.0}","{""SHO-SUR-M4"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":0.0}",PASS,PASS,[],PASS
S2-SHO-SUR::T-Q3-P4::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-3-UAV-4-UAV-5,E4516958DAF27A2FABFA6A61B00388D84AACDC5C0D0E668A1D2219267B3C754C,3,"[""SHO-SUR-M4"",""SHO-SUR-M5"",""SHO-SUR-M6""]",3,"{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M4"":0.0,""SHO-SUR-M5"":3.0,""SHO-SUR-M6"":0.0}","{""SHO-SUR-M4"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":0.0}",PASS,PASS,[],PASS
S2-SUF-OVR::T-Q2-THREE::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-1,66A7C362C206F3A0DB9E514D136950CD1041FC2E596D0B0E715BAEB08E308593,3,"[""SUF-OVR-M1"",""SUF-OVR-M2"",""SUF-OVR-M3"",""SUF-OVR-M4""]",4,"{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":8.75,""SUF-OVR-M2"":10.25,""SUF-OVR-M3"":10.25,""SUF-OVR-M4"":8.75}","{""SUF-OVR-M1"":0.0,""SUF-OVR-M2"":0.0,""SUF-OVR-M3"":0.0,""SUF-OVR-M4"":0.0}",PASS,PASS,[],PASS
S2-SUF-OVR::T-Q2-THREE::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-3,874BBA25C2A524D33C04798A54C91D2FC8707D5A3B08BCF9E29C3E581A08D992,3,"[""SUF-OVR-M1"",""SUF-OVR-M2"",""SUF-OVR-M3"",""SUF-OVR-M4""]",4,"{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":8.75,""SUF-OVR-M2"":10.25,""SUF-OVR-M3"":10.25,""SUF-OVR-M4"":8.75}","{""SUF-OVR-M1"":0.0,""SUF-OVR-M2"":0.0,""SUF-OVR-M3"":0.0,""SUF-OVR-M4"":0.0}",PASS,PASS,[],PASS
S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2,5719F9EDD162F53B20B74D895558ED959BFD749D5F678FA7733B3DD05D9957EC,2,"[""SUF-OVR-M1"",""SUF-OVR-M2"",""SUF-OVR-M3"",""SUF-OVR-M4""]",4,"{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":3.75,""SUF-OVR-M2"":5.25,""SUF-OVR-M3"":5.25,""SUF-OVR-M4"":3.75}","{""SUF-OVR-M1"":0.0,""SUF-OVR-M2"":0.0,""SUF-OVR-M3"":0.0,""SUF-OVR-M4"":0.0}",PASS,PASS,"[""S2-SUF-OVR::P2_L_RECONSTRUCTED"",""S2-SUF-OVR::Q4-A""]",PASS
S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-5,025EAC3C02ADBC4DFF265F6411AF4E2841F519D8D1178D2B5A769B20A9F829D1,2,"[""SUF-OVR-M1"",""SUF-OVR-M2"",""SUF-OVR-M3"",""SUF-OVR-M4""]",4,"{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M1"":3.75,""SUF-OVR-M2"":5.25,""SUF-OVR-M3"":5.25,""SUF-OVR-M4"":3.75}","{""SUF-OVR-M1"":0.0,""SUF-OVR-M2"":0.0,""SUF-OVR-M3"":0.0,""SUF-OVR-M4"":0.0}",PASS,PASS,"[""S2-SUF-OVR::P2_T_RECONSTRUCTED""]",PASS
S2-SUF-OVR::T-Q3-P1::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3::UAV-1-UAV-2-UAV-3,617CC94CAA8D14B8CD8854EB321185191319F5EF327FB71D2815B6C5DC5A4EBC,3,"[""SUF-OVR-M1"",""SUF-OVR-M2"",""SUF-OVR-M3""]",3,"{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS""}","{""SUF-OVR-M1"":""PASS"",""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS""}","{""SUF-OVR-M1"":0.5,""SUF-OVR-M2"":2.0,""SUF-OVR-M3"":0.5}","{""SUF-OVR-M1"":0.0,""SUF-OVR-M2"":0.0,""SUF-OVR-M3"":0.0}",PASS,PASS,[],PASS
S2-SUF-OVR::T-Q3-P1::SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-1-UAV-2-UAV-3,F4A87998E7A12A1DCA2FD2608AAB5C81CC9DA3E2C1C12E96AC19D8DF384D98B7,3,"[""SUF-OVR-M2"",""SUF-OVR-M3"",""SUF-OVR-M4""]",3,"{""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M2"":""PASS"",""SUF-OVR-M3"":""PASS"",""SUF-OVR-M4"":""PASS""}","{""SUF-OVR-M2"":0.5,""SUF-OVR-M3"":2.0,""SUF-OVR-M4"":0.5}","{""SUF-OVR-M2"":0.0,""SUF-OVR-M3"":0.0,""SUF-OVR-M4"":0.0}",PASS,PASS,[],PASS
