scenario_id,arc_id,uav_id,predecessor_node,successor_node,departure_time_s,arrival_deadline_s,transition_distance_m,available_transition_time_s,transition_turn_proxy_rad,maximum_radius_along_transition_m,operating_radius_status
S2-CRI-SUR,UAV-4::N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M4::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M4::UAV-4,T::UAV-4,52,52,0,0,0,2647.640458975,PASS
S2-CRI-SUR,UAV-4::S::UAV-4->N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M3::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M3::UAV-4,0,80,947.048045244,80,0.757091191,2334.180798482,PASS
S2-CRI-SUR,UAV-4::S::UAV-4->N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M4::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M4::UAV-4,0,41,947.048045244,41,0.757091191,2334.180798482,PASS
S2-CRI-SUR,UAV-5::N::UAV-5::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M3::UAV-5->T::UAV-5,UAV-5,N::UAV-5::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M3::UAV-5,T::UAV-5,85,85,0,0,0,2647.640458975,PASS
S2-CRI-SUR,UAV-5::S::UAV-5->N::UAV-5::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M3::UAV-5,UAV-5,S::UAV-5,N::UAV-5::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M3::UAV-5,0,71,660.378679244,71,1.117198631,2022.770377477,PASS
S2-SHO-OVR,UAV-1::N::UAV-1::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M1::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M1::UAV-1,T::UAV-1,53,53,0,0,0,2400,PASS
S2-SHO-OVR,UAV-1::S::UAV-1->N::UAV-1::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M1::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M1::UAV-1,0,42,680,42,0,2080,PASS
S2-SHO-OVR,UAV-2::N::UAV-2::S2-SHO-OVR::T-Q2-TWO::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SHO-OVR::T-Q2-TWO::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-2,T::UAV-2,50.75,50.75,0,0,0,2469.817807046,PASS
S2-SHO-OVR,UAV-2::S::UAV-2->N::UAV-2::S2-SHO-OVR::T-Q2-TWO::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SHO-OVR::T-Q2-TWO::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-2,0,36.75,588.727441181,36.75,2.412123025,1888.279640308,PASS
S2-SHO-OVR,UAV-4::N::UAV-4::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M4::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M4::UAV-4,T::UAV-4,57.5,57.5,0,0,0,2647.640458975,PASS
S2-SHO-OVR,UAV-4::S::UAV-4->N::UAV-4::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M4::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-SHO-OVR::T-Q1-SINGLE::SHO-OVR-M4::UAV-4,0,46.5,947.048045244,46.5,0.757091191,2334.180798482,PASS
S2-SHO-SEQ,UAV-1::N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M1::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M1::UAV-1,T::UAV-1,45,45,0,0,0,2400,PASS
S2-SHO-SEQ,UAV-1::N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-1->N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M4::UAV-1,UAV-1,N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M2::UAV-1,N::UAV-1::S2-SHO-SEQ::T-Q1-SINGLE::SHO-SEQ-M4::UAV-1,67,100,320,33,6.283185307,2400,PASS
